date,cash,equity,dividendCash,cumulativeDividends,holdings,top3,pendingSwapBuy,pendingSwapSell,positionValue,kospiClose,kospiValue
2002-08-30,2192012.3011381067,17881800.301138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_eandc,hyundai_motor_3pref,lotte_chilsung",,,15689788.0,736.4,8940907.931959739
2002-09-02,2192012.3011381067,18121600.301138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_motor_3pref,doosan,lg_elec",,,15929588.0,751.98,9130070.541383874
2002-09-03,2192012.3011381067,18099800.301138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_motor_3pref,doosan,lg_chem",,,15907788.0,740.59,8991780.289693188
2002-09-04,2192012.3011381067,17903600.301138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_motor_3pref,doosan,samsung_elec",,,15711588.0,723.05,8778820.586914027
2002-09-05,2192012.3011381067,17881800.301138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_motor_3pref,doosan,hyundai_motor",,,15689788.0,720.98,8753687.942401322
2002-09-06,2192012.3011381067,17751000.301138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_motor_3pref,doosan,hyundai_motor",doosan,hyundai_motor_3pref,15558988.0,708.73,8604956.10893241
2002-09-09,2040060.7411381071,17590204.741138108,0.0,0.0,"doosan,hyundai_eandc,yuhwa_sec","hyundai_motor_3pref,doosan,hyundai_motor",hyundai_motor_3pref,doosan,15550144.0,697.89,8473343.613030123
2002-09-10,1962772.1811381076,17473060.181138106,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","lotte_chilsung,hyundai_motor_3pref,doosan",doosan,hyundai_motor_3pref,15510288.0,713.3,8660442.188846935
2002-09-11,295125.0211381074,22120829.02113811,0.0,0.0,"doosan,hyundai_eandc,yuhwa_sec","hyundai_eandc,lotte_chilsung,hyundai_motor_3pref",hyundai_motor_3pref,doosan,21825704.0,724.71,8798975.268020835
2002-09-12,800433.6911381073,20440421.691138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_eandc,lotte_chilsung,hyundai_motor_3pref",,,19639988.0,739.22,8975146.607092991
2002-09-13,800433.6911381073,19293171.691138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_eandc,lotte_chilsung,hyundai_motor_3pref",,,18492738.0,718.17,8719570.681009676
2002-09-16,800433.6911381073,19244371.691138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_motor_3pref,doosan,lg_chem",,,18443938.0,704.38,8552141.131333245
2002-09-17,800433.6911381073,19298971.691138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_eandc,lotte_chilsung,hyundai_motor_3pref",,,18498538.0,726.8,8824350.740016755
2002-09-18,800433.6911381073,19694471.691138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_eandc,lotte_chilsung,hyundai_motor_3pref",,,18894038.0,703.87,8545949.030511273
2002-09-19,800433.6911381073,19670071.691138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_motor_3pref,hyundai_motor,doosan",,,18869638.0,704.12,8548984.374051455
2002-09-23,800433.6911381073,19548071.691138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_motor_3pref,doosan,hyundai_motor",,,18747638.0,679.43,8249213.846023092
2002-09-24,800433.6911381073,19426071.691138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_motor_3pref,hyundai_motor,doosan",,,18625638.0,672.28,8162403.020773891
2002-09-25,800433.6911381073,17376271.691138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_eandc,lotte_chilsung,hyundai_motor_3pref",,,16575838.0,657.96,7988538.542792274
2002-09-26,800433.6911381073,17211521.691138107,0.0,0.0,"hyundai_eandc,hyundai_motor_3pref,yuhwa_sec","hyundai_eandc,lotte_chilsung,hyundai_motor_3pref",,,16411088.0,662.41,8042567.65780751
